State,County,MedianIncome
Kentucky,mccracken,57709
Kentucky,franklin,58556
Kentucky,metcalfe,40943
Kentucky,letcher,44104
Kentucky,lawrence,42182
Kentucky,campbell,69837
Kentucky,floyd,37838
Kentucky,scott,71455
Kentucky,hart,42359
Kentucky,breckinridge,46870
Kentucky,jessamine,58733
Kentucky,lincoln,43121
Kentucky,todd,51241
Kentucky,kenton,66229
Kentucky,green,44338
Kentucky,perry,40814
Kentucky,robertson,49643
Louisiana,jefferson davis,51772
Louisiana,avoyelles,40311
Louisiana,catahoula,44627
Louisiana,iberia,51402
Louisiana,iberville,54191
Louisiana,evangeline,41022
Louisiana,jefferson,61131
Louisiana,tangipahoa,53101
Louisiana,st. james,63632
Louisiana,st. mary,48754
Louisiana,lafourche,59941
Louisiana,grant,47832
Louisiana,morehouse,39570
Louisiana,terrebonne,60417
Louisiana,richland,45070
Louisiana,lincoln,51206
Louisiana,st. charles,66392
Louisiana,madison,33063
Louisiana,livingston,66164
Louisiana,winn,45200
Louisiana,pointe coupee,59064
Louisiana,cameron,71310
Louisiana,caddo,52823
Louisiana,ascension,77640
Louisiana,st. bernard,45087
Louisiana,allen,48306
Louisiana,lafayette,67061
Louisiana,calcasieu,55484
Louisiana,concordia,38125
Louisiana,st. tammany,74834
Louisiana,bienville,42271
Louisiana,east baton rouge,63558
Louisiana,natchitoches,47936
Louisiana,st. john the baptist,56540
Louisiana,jackson,45490
Louisiana,washington parish,41963
